RULE_ID;ERROR_TYPE;ERROR_MESSAGE
AHMM002;Info;For farms with AHMM data the extrapolation factor 1 of AHMM module has to be larger than or equal to the extrapolation factor 1 in the CORE
AHMM003;Info;IF the stratum ID is completed for the core we expect the same stratum ID in the module for each holding however exceptions might occur when strata are collapsed in the smaller module sub-sample due to a single responding holding in a stratum
AHMM004;Error;IF the primary sampling unit is completed for the core we expect the same PSU in the module for each holding
AHMM005;Error;IF the secondary sampling unit is completed for the core we expect the same in the module for each holding
AHMM006;Error;IF the order of the selection of the holding or of the primary sampling unit in the first stage is completed in the core the same is expected in the module for each holding
AHMM007;Error;The area fertilised with mineral fertilisers cannot be bigger than the total utilised agricultural area
AHMM008;Error;The area fertilised with livestock manure cannot be bigger than the total utilised agricultural area
AHMM009;Info;The sum of area fertilised with mineral fertilisers + area fertilised with livestock manure can be bigger than the total utilised agricultural area if there are areas that are fertilised both with mineral fertilisers and livestock manure
AHMM017;Error;The sum of percentage bands of manure application techniques must be smaller or equal to 100
AHMM018;Error;The sum of storage must be <=100
AHMM019;Info;IF sum of storage <100 THEN net export NETEXP_FER_O_LM_LQ_SL must be positive (> 0) or net export NETEXP_FER_O_LM_SO must be positive (> 0) or all the animals in the farm are outdoors all of the time (and there is no storage)
AHMM020;Error;All holdings without AHMM module data shall have all data fields and sampling design fields for the AHMM module null (flag fields excepted as they need to be filled in)
AHMM021;Error;If extrapolation factor 2 for the module is null then extrapolation factor 3 must be null
AHMM022;Error;All holdings with AHMM module data should have EXTPOL_FACT1_AHMM completed
AHMM024;Error;For farms with AHMM data the extrapolation factor 2 of AHMM module has to be larger than or equal to the extrapolation factor 2 in the CORE
AHMM025;Error;For farms with AHMM data the extrapolation factor 3 of AHMM module has to be larger than or equal to the extrapolation factor 3 in the CORE
AHMM026;Error;If the only extrapolation factor completed is 1 then the fields of PSU and SSU are not relevant
AHMM027;Error;If the only extrapolation factors completed are 1 and 2 then the field of PSU is relevant and the field of SSU is not relevant
AHMM028;Error;If all 3 extrapolation factors are completed then the fields of PSU and SSU are relevant
AHMM029;Error;If the stratum is not filled in then the flag of the stratum indicates NOT APPLICABLE
AHMM030;Error;If the stratum is filled in then the flag of the stratum is filled in with the code indicating its meaning
AHMM031;Error;If the PSU is not filled in then the corresponding flag indicates NOT APPLICABLE
AHMM032;Error;If the PSU is filled in then the corresponding flag is filled in with 1
AHMM033;Error;If the SSU is not filled in then the corresponding flag indicates NOT APPLICABLE
AHMM034;Error;If the SSU is filled in then the corresponding flag is filled in with 1
AHMM035;Error;If the OSU is not filled in then the corresponding flag indicates NOT APPLICABLE
AHMM036;Error;If the OSU is filled in then the corresponding flag is filled in with 1
AHMM037;Error;There should not be 2 records with the same PSU and different strata
AHMM038;Error;There should not be 2 records with the same SSU and different PSU or different strata
AHMM039;Error;If extrapolation factor 2 for the module AHMM is null then extrapolation factor 3 must be null
AHMM040;Error;All holdings with AHMM module data shall have all fields and sampling design data fields for the AHMM module filled in
VINY001;Info;For farms with VINY data the extrapolation factor 1 of VINY module has to be larger than or equal to extrapolation factor 1 in the CORE
VINY002;Info;IF the stratum ID is completed for the core we expect the same stratum ID in the module for each holding however exceptions might occur when strata are collapsed in the smaller module sub-sample due to a single responding holding in a stratum
VINY003;Error;When the core is sample-based having PSUs and a module is a sub-sample of the core the holdings in the sub-sample (with both core and module data) shall have the same code in PSU_VINY and PSU_CORE
VINY004;Error;IF the secondary sampling unit is completed for the core we expect the same in the module for each holding
VINY005;Error;IF the order of the selection of the holding or of the primary sampling unit in the first stage is completed in the core the same is expected in the module for each holding
VINY006;Error;All holdings without VINY module data shall have all data fields and sampling design fields for the VINY module null. Flag fields excepted (they need to be filled in)
VINY007;Error;If extrapolation factor 2 for the module VINY is null then extrapolation factor 3 must be null
VINY008;Error;All holdings with VINY module data should have at least the first two extrapolation factors for the module (EXTPOL_FACT1_VINY and EXTPOL_FACT2_VINY) completed
VINY009;Info;For farms with VINY data the extrapolation factor 2 of VINY module has to be larger than or equal to extrapolation factor 2 in the CORE
VINY010;Info;For farms with VINY data the extrapolation factor 3 of VINY module has to be larger than or equal to extrapolation factor 3 in the CORE
VINY011;Error;If the only extrapolation factor completed is 1 then the fields of PSU and SSU are not relevant
VINY012;Error;If the only extrapolation factors completed are 1 and 2 then the field of PSU is relevant and the field of SSU is not relevant
VINY013;Error;If all 3 extrapolation factors are completed then the fields of PSU and SSU are relevant
VINY014;Error;If the stratum is not filled in then the flag of the stratum indicates NOT APPLICABLE
VINY015;Error;If the stratum is filled in then the flag of the stratum is filled in with the code indicating its meaning
VINY016;Error;If the PSU is not filled in then the corresponding flag indicates NOT APPLICABLE
VINY017;Error;If the PSU is filled in then the corresponding flag is filled in with 1
VINY018;Error;If the SSU is not filled in then the corresponding flag indicates NOT APPLICABLE
VINY019;Error;If the SSU is filled in then the corresponding flag is filled in with 1
VINY020;Error;If the OSU is not filled in then the corresponding flag indicates NOT APPLICABLE
VINY021;Error;If the OSU is filled in then the corresponding flag is filled in with 1
VINY022;Error;There should not be 2 records with the same PSU and different strata
VINY023;Error;There should not be 2 records with the same SSU and different PSU or different strata
VINY024;Error;If extrapolation factor 1 for the module VINY is null extrapolation factors 2 and 3 must be null
VINY025;Error;The total area of grapes for wine must be higher or equal to the sum of areas of grapes for wine in different age classes
VINY026;Error;The total area of grapes for must be greater or equal to the total outdoor area of grapes for wine
VINY027;Info;The total area of grapes for wine must be greater or equal to the total outdoor area of grapes for wine (different reference years)
VINY028;Error;The holding ID in the varieties table must exist in the microdata table when the holding is relevant for the vineyards module
VINY029;Error;The total number of lines for the HLD_ID in the varieties table must equal the number of variables indicated in the microdata
VINY030;Error;TIME_PERIOD_VINY covers 1 year that must end within 12 months from the reference time period
